"taxnum","arrest_count","arrest_type"
"949966","19","VIOLATION"
"959440","1","INFRACTION"
"959440","27","FELONY"
"959440","80","MISDEMEANOR"
"959440","5","VIOLATION"
"942927","75","FELONY"
"942927","87","MISDEMEANOR"
"942927","2","OTHER"
"942927","4","VIOLATION"
"926476","3","INFRACTION"
"926476","14","FELONY"
"926476","77","MISDEMEANOR"
"926476","1","VIOLATION"
"953617","105","FELONY"
"953617","44","MISDEMEANOR"
"953617","18","VIOLATION"
"929496","31","FELONY"
"929496","68","MISDEMEANOR"
"929496","5","VIOLATION"
"905654","1","INFRACTION"
"905654","51","FELONY"
"905654","123","MISDEMEANOR"
"905654","4","OTHER"
"905654","6","VIOLATION"
"945457","118","FELONY"
"945457","390","MISDEMEANOR"
"945457","1","OTHER"
"945457","21","VIOLATION"
"926477","6","INFRACTION"
"926477","184","FELONY"
"926477","505","MISDEMEANOR"
"926477","1","OTHER"
"926477","10","VIOLATION"
"945458","67","FELONY"
"945458","175","MISDEMEANOR"
"945458","3","VIOLATION"
"931514","5","FELONY"
"931514","46","MISDEMEANOR"
"931514","10","VIOLATION"
"936966","76","FELONY"
"936966","166","MISDEMEANOR"
"936966","15","VIOLATION"
"924841","19","FELONY"
"924841","42","MISDEMEANOR"
"924841","11","VIOLATION"
"971784","2","FELONY"
"971784","12","MISDEMEANOR"
"971784","1","VIOLATION"
"962930","2","INFRACTION"
"962930","8","FELONY"
"962930","32","MISDEMEANOR"
"946662","1","INFRACTION"
"946662","111","FELONY"
"946662","195","MISDEMEANOR"
"946662","9","VIOLATION"
"961486","1","INFRACTION"
"961486","10","FELONY"
"961486","34","MISDEMEANOR"
"919976","9","INFRACTION"
"919976","17","FELONY"
"919976","77","MISDEMEANOR"
"919976","3","VIOLATION"
"948591","1","INFRACTION"
"948591","58","FELONY"
"948591","201","MISDEMEANOR"
"948591","64","VIOLATION"
"958215","3","FELONY"
"958215","17","MISDEMEANOR"
"958216","24","FELONY"
"958216","58","MISDEMEANOR"
"958216","1","VIOLATION"
"960130","1","INFRACTION"
"960130","4","FELONY"
"960130","11","MISDEMEANOR"
"946436","28","FELONY"
"946436","112","MISDEMEANOR"
"946436","13","VIOLATION"
"934370","1","INFRACTION"
"934370","58","FELONY"
"934370","241","MISDEMEANOR"
"934370","23","VIOLATION"
"965920","32","FELONY"
"965920","13","MISDEMEANOR"
"965920","1","VIOLATION"
"968918","44","FELONY"
"968918","31","MISDEMEANOR"
"959441","2","INFRACTION"
"959441","22","FELONY"
"959441","20","MISDEMEANOR"
"943995","2","INFRACTION"
"943995","20","FELONY"
"943995","165","MISDEMEANOR"
"943995","8","VIOLATION"
"931452","1","INFRACTION"
"931452","3","FELONY"
"931452","45","MISDEMEANOR"
"958218","1","INFRACTION"
"958218","14","FELONY"
"958218","37","MISDEMEANOR"
"958218","1","VIOLATION"
"961594","1","INFRACTION"
"961594","11","FELONY"
"961594","37","MISDEMEANOR"
"961594","3","VIOLATION"
"936098","2","INFRACTION"
"936098","27","FELONY"
"936098","311","MISDEMEANOR"
"936098","1","VIOLATION"
"929653","16","FELONY"
"929653","44","MISDEMEANOR"
"929653","1","VIOLATION"
"954463","7","INFRACTION"
"954463","6","FELONY"
"954463","50","MISDEMEANOR"
"954463","12","VIOLATION"
