"taxnum","date","charge_count","allegation_count"
"949991","12/11/2015","1",NA
"949991","6/14/2022",NA,"1"
"969475",NA,NA,NA
"955710",NA,NA,NA
"932247","5/13/2020","2",NA
"964363",NA,NA,NA
"933602",NA,NA,NA
"960152",NA,NA,NA
"951495",NA,NA,NA
"946426",NA,NA,NA
"963820",NA,NA,NA
"963366",NA,NA,NA
"962212",NA,NA,NA
"953630",NA,NA,NA
"968224",NA,NA,NA
"939861",NA,NA,NA
"929611",NA,NA,NA
"946734",NA,NA,NA
"949992",NA,NA,NA
"943998",NA,NA,NA
"964874",NA,NA,NA
"939862",NA,NA,NA
"931520",NA,NA,NA
"968929",NA,NA,NA
"942654",NA,NA,NA
"972381",NA,NA,NA
"948610",NA,NA,NA
"947706",NA,NA,NA
"970383",NA,NA,NA
"937969",NA,NA,NA
"960153",NA,NA,NA
"952400",NA,NA,NA
"963367",NA,NA,NA
"968225",NA,NA,NA
"946735",NA,NA,NA
"933603",NA,NA,NA
"973213",NA,NA,NA
"963846",NA,NA,NA
"952401",NA,NA,NA
"946736",NA,NA,NA
"929613",NA,NA,NA
"927849",NA,NA,NA
"968227",NA,NA,NA
"929614",NA,NA,NA
"937857",NA,NA,NA
"969476",NA,NA,NA
"947191",NA,NA,NA
"940895",NA,NA,NA
"941336",NA,NA,NA
"968930",NA,NA,NA
"973050",NA,NA,NA
"970384",NA,NA,NA
"967418",NA,NA,NA
"936115",NA,NA,NA
"964875",NA,NA,NA
"964876",NA,NA,NA
"963368",NA,NA,NA
"960250",NA,NA,NA
"962918",NA,NA,NA
"951497",NA,NA,NA
"946737",NA,NA,NA
"929616",NA,NA,NA
"939864",NA,NA,NA
"966935",NA,NA,NA
"968931",NA,NA,NA
"960155",NA,NA,NA
"963369",NA,NA,NA
"963370",NA,NA,NA
"964877",NA,NA,NA
"948611",NA,NA,NA
"941337",NA,NA,NA
"957329",NA,NA,NA
"936123",NA,NA,NA
"955831",NA,NA,NA
"958234","4/26/2022",NA,"4"
"953631",NA,NA,NA
"926498",NA,NA,NA
"969477",NA,NA,NA
"932249","3/14/2016","3",NA
"944319",NA,NA,NA
"938326","2/10/2015","1",NA
"960156",NA,NA,NA
"941970",NA,NA,NA
"937970",NA,NA,NA
"963847",NA,NA,NA
"948298",NA,NA,NA
"968229",NA,NA,NA
"951498",NA,NA,NA
"934385",NA,NA,NA
"934386","8/27/2014","1",NA
"948612",NA,NA,NA
"946738","4/1/2019","4",NA
"967419",NA,NA,NA
"951499",NA,NA,NA
"945006",NA,NA,NA
"967747",NA,NA,NA
"960157",NA,NA,NA
"939866",NA,NA,NA
"945469",NA,NA,NA
"949993",NA,NA,NA
"958235",NA,NA,NA
"952404",NA,NA,NA
"933605",NA,NA,NA
"941339",NA,NA,NA
"963371",NA,NA,NA
"949994","3/28/2022",NA,"1"
"953633",NA,NA,NA
"949327",NA,NA,NA
"936124",NA,NA,NA
"941340",NA,NA,NA
"937971",NA,NA,NA
"964878",NA,NA,NA
"963372",NA,NA,NA
"933606",NA,NA,NA
"962919",NA,NA,NA
"964879",NA,NA,NA
"954478",NA,NA,NA
"933607","8/4/2020","4",NA
"968932",NA,NA,NA
"961611",NA,NA,NA
"929619",NA,NA,NA
"946739",NA,NA,NA
"973214",NA,NA,NA
"945115",NA,NA,NA
"962922",NA,NA,NA
"949587",NA,NA,NA
"937858",NA,NA,NA
"973215",NA,NA,NA
"968933",NA,NA,NA
"958237",NA,NA,NA
"929622",NA,NA,NA
"949837","11/16/2015","1",NA
"968230",NA,NA,NA
"940955",NA,NA,NA
"948458",NA,NA,NA
"966429",NA,NA,NA
"971314",NA,NA,NA
"942944",NA,NA,NA
"963373",NA,NA,NA
"942945",NA,NA,NA
"927852",NA,NA,NA
"919994",NA,NA,NA
"946741",NA,NA,NA
"970973",NA,NA,NA
"964372",NA,NA,NA
"929623",NA,NA,NA
"939868",NA,NA,NA
"969478",NA,NA,NA
"965396",NA,NA,NA
"955712",NA,NA,NA
"917224",NA,NA,NA
"951500",NA,NA,NA
"948613",NA,NA,NA
"934387",NA,NA,NA
"941341",NA,NA,NA
"952406",NA,NA,NA
"947969",NA,NA,NA
"969479",NA,NA,NA
"941342","9/23/2011","3",NA
"966936",NA,NA,NA
"946742",NA,NA,NA
"966430",NA,NA,NA
"941343",NA,NA,NA
"939869",NA,NA,NA
"955713",NA,NA,NA
"961612",NA,NA,NA
"945470",NA,NA,NA
"927779","5/11/2022",NA,"1"
"957330",NA,NA,NA
"956385",NA,NA,NA
"970974",NA,NA,NA
"949996",NA,NA,NA
"937973","7/15/2014","5",NA
"944320",NA,NA,NA
"944321",NA,NA,NA
"968934",NA,NA,NA
"937974","2/8/2011","3",NA
"954479",NA,NA,NA
"961210",NA,NA,NA
"967420",NA,NA,NA
"895071",NA,NA,NA
"921051",NA,NA,NA
"929624",NA,NA,NA
"966431",NA,NA,NA
"971313",NA,NA,NA
"959272",NA,NA,NA
"936126",NA,NA,NA
"951501","4/21/2015","3",NA
"934390",NA,NA,NA
"958240",NA,NA,NA
"921914","5/6/2015","2",NA
"933609",NA,NA,NA
"946743",NA,NA,NA
"936127",NA,NA,NA
"972506",NA,NA,NA
"954480",NA,NA,NA
"915226",NA,NA,NA
"961613","7/13/2022",NA,"1"
"948299",NA,NA,NA
"968233",NA,NA,NA
"963848",NA,NA,NA
"973216",NA,NA,NA
"971316",NA,NA,NA
"919995",NA,NA,NA
"960551",NA,NA,NA
"905686",NA,NA,NA
"954481",NA,NA,NA
"929625",NA,NA,NA
