"taxnum","date","shield_num","title"
941319,"07/10/06",13811,"POLICE OFFICER"
941319,"06/25/14",2496,"SERGEANT"
942930,"01/10/07",17601,"POLICE OFFICER"
942930,"10/30/19",1082,"SERGEANT"
951481,"01/09/12",5502,"POLICE OFFICER"
934372,"08/31/18",7753,"DETECTIVE"
934372,"07/01/04",7603,"POLICE OFFICER"
967740,"07/01/19",15378,"POLICE OFFICER"
949972,"07/06/11",11042,"POLICE OFFICER"
949972,"06/24/22",4330,"SERGEANT"
971302,"04/28/21",16666,"POLICE OFFICER"
963837,"07/05/17",18025,"POLICE OFFICER"
934373,"07/01/04",21660,"POLICE OFFICER"
934373,"10/25/13",450,"SERGEANT"
965646,"04/25/18",5807,"POLICE OFFICER"
934374,"08/22/17",154,"DETECTIVE"
934374,"07/01/04",382,"POLICE OFFICER"
945459,"01/07/08",24483,"POLICE OFFICER"
955129,"07/30/21",5090,"DETECTIVE"
955129,"07/09/13",3427,"POLICE OFFICER"
926532,"09/29/00",15897,"POLICE OFFICER"
926532,"08/02/11",102,"SERGEANT"
969458,"11/02/20",16538,"POLICE OFFICER"
972498,"10/12/21",7390,"POLICE OFFICER"
962913,"01/04/17",18509,"POLICE OFFICER"
961598,"07/13/16",14563,"POLICE OFFICER"
965647,"04/25/18",1768,"POLICE OFFICER"
970966,"02/24/21",22769,"POLICE OFFICER"
967407,"04/15/19",1209,"POLICE OFFICER"
969459,"11/02/20",23224,"POLICE OFFICER"
951482,"01/09/12",4231,"POLICE OFFICER"
941320,"07/10/06",10057,"POLICE OFFICER"
948593,"06/10/21",2107,"DETECTIVE"
948593,"07/06/10",919,"POLICE OFFICER"
968211,"10/07/19",6554,"POLICE OFFICER"
953620,"01/09/13",30507,"POLICE OFFICER"
961599,"07/13/16",11340,"POLICE OFFICER"
933595,"01/20/04",16796,"POLICE OFFICER"
957317,"01/07/15",8589,"POLICE OFFICER"
966419,"10/24/18",2322,"POLICE OFFICER"
954337,"01/09/13",1634,"POLICE OFFICER"
939845,"09/29/08",2771,"DETECTIVE"
939845,"01/09/06",27077,"POLICE OFFICER"
939845,"03/30/12",1031,"SERGEANT"
